Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat;
18/05/23;02:13:13;022375420953;ME2313741925;;0;2;PASS;
18/05/23;02:13:41;022375420715;ME2313840073;;0;1;PASS;
18/05/23;02:14:10;022375420951;ME2313840075;;0;8;PASS;
18/05/23;02:14:38;022375420957;ME2313840079;;0;7;PASS;
18/05/23;02:15:06;022375420480;ME2313840096;;0;6;PASS;
18/05/23;02:15:35;022375420714;ME2313741916;;0;5;PASS;
18/05/23;02:16:04;423231375147;ME2313840097;;-233;4;FAIL;
18/05/23;02:16:37;022375420718;ME2313840085;;0;3;PASS;
18/05/23;02:17:07;022375420720;ME2313840084;;0;2;PASS;
18/05/23;02:17:41;022375420722;ME2313840074;;0;1;PASS;
18/05/23;02:18:10;022375420724;ME2313840088;;0;8;PASS;
18/05/23;02:18:38;022375420727;ME2313840089;;0;7;PASS;
18/05/23;02:19:10;022375420955;ME2313840095;;0;6;PASS;
18/05/23;02:19:38;022375420958;ME2313840103;;0;5;PASS;
18/05/23;02:20:07;423231375147;ME2313840097;;-233;4;FAIL;
18/05/23;02:20:37;022375420959;ME2313840102;;0;3;PASS;
18/05/23;02:21:05;022375420962;ME2313840104;;0;2;PASS;
18/05/23;02:21:33;022375420964;ME2313840106;;0;1;PASS;
18/05/23;02:22:02;022375420965;ME2313840107;;0;8;PASS;
18/05/23;02:22:31;022375420967;ME2313840109;;0;7;PASS;
18/05/23;02:23:00;022375420969;ME2313840111;;0;6;PASS;
18/05/23;02:23:32;022375420234;ME2313840114;;0;5;PASS;
18/05/23;02:24:04;423231373532;ME2313840113;;-233;4;FAIL;
18/05/23;02:24:34;022375420237;ME2313840115;;0;3;PASS;
18/05/23;02:25:02;022375420240;ME2313840117;;0;2;PASS;
18/05/23;02:25:31;022375420252;ME2313840116;;0;1;PASS;
18/05/23;02:25:59;022375420475;ME2313840112;;0;8;PASS;
18/05/23;02:26:29;022375420477;ME2313840108;;0;7;PASS;
18/05/23;02:26:57;022375420481;ME2313840141;;0;6;PASS;
18/05/23;02:27:30;022375420484;ME2313840133;;-502;5;FAIL;
18/05/23;02:27:58;022375420491;ME2313840082;;0;4;PASS;
18/05/23;02:28:27;022375420243;ME2313840113;;0;3;PASS;
18/05/23;02:28:57;723231374260;ME2313840142;;-307;2;FAIL;
18/05/23;02:29:38;022375420247;ME2313840146;;0;1;PASS;
18/05/23;02:30:07;022375420249;ME2313840144;;0;8;PASS;
18/05/23;02:30:36;022375420250;ME2313840159;;0;7;PASS;
18/05/23;02:31:05;022375420260;ME2313840097;;0;6;PASS;
18/05/23;02:31:34;022375420487;ME2313840165;;0;5;PASS;
18/05/23;02:32:03;022375420492;ME2313840078;;0;4;PASS;
18/05/23;02:32:31;022375420495;ME2313840062;;0;3;PASS;
18/05/23;02:33:01;022375420725;ME2313840153;;0;2;PASS;
18/05/23;02:33:28;022375420730;ME2313840140;;0;1;PASS;
18/05/23;02:33:57;022375421100;ME2313840142;;0;8;PASS;
18/05/23;02:34:30;022375420733;ME2313840196;;0;7;PASS;
18/05/23;02:35:05;022375420735;ME2313840195;;0;6;PASS;
18/05/23;02:35:34;022375420737;ME2313840201;;0;5;PASS;
18/05/23;02:36:06;723231371989;ME2313840157;;-233;4;FAIL;
18/05/23;02:36:36;022375420741;ME2313840199;;0;3;PASS;
18/05/23;02:37:08;022375420970;ME2313840160;;0;2;PASS;
18/05/23;02:37:36;022375420975;ME2313840086;;0;1;PASS;
18/05/23;02:38:05;022375420977;ME2313840193;;0;8;PASS;
18/05/23;02:38:33;723231371666;ME2313840162;;-308;7;FAIL;
18/05/23;02:39:12;;;;-199;7;FAIL;
18/05/23;02:39:54;;;;-199;7;FAIL;
18/05/23;02:40:24;022375420981;ME2313840205;;0;6;PASS;
18/05/23;02:40:53;022375420983;ME2313840212;;0;5;PASS;
18/05/23;02:41:22;723231371989;ME2313840157;;-233;4;FAIL;
18/05/23;02:41:59;022375420262;ME2313840227;;0;3;PASS;
18/05/23;02:42:28;022375420504;ME2313840148;;0;2;PASS;
18/05/23;02:42:56;022375420506;ME2313840087;;0;1;PASS;
18/05/23;02:43:26;022375420507;ME2313840152;;0;8;PASS;
18/05/23;02:43:54;423231375125;ME2313840237;;-243;7;FAIL;
18/05/23;02:44:24;723231371666;ME2313840162;;-201;6;FAIL;
18/05/23;02:45:05;;;;-199;6;FAIL;
18/05/23;02:45:35;022375420745;ME2313840151;;0;5;PASS;
18/05/23;02:46:03;022375420747;ME2313840232;;0;4;PASS;
18/05/23;02:46:32;022375420984;ME2313840239;;0;3;PASS;
18/05/23;02:47:11;022375420986;ME2313840157;;0;2;PASS;
18/05/23;02:47:37;022375421111;ME2313840177;;0;1;PASS;
18/05/23;02:48:05;022375420255;ME2313840242;;0;8;PASS;
18/05/23;02:48:34;022375420257;ME2313840237;;0;7;PASS;
18/05/23;02:49:06;022375420270;ME2313840245;;0;6;PASS;
18/05/23;02:49:32;022375420272;ME2313840248;;0;5;PASS;
18/05/23;02:50:01;723231371285;ME2313840247;;-233;4;FAIL;
18/05/23;02:50:31;022375420496;ME2313840250;;0;3;PASS;
18/05/23;02:51:06;022375420499;ME2313840274;;0;2;PASS;
18/05/23;02:51:31;022375421101;ME2313840271;;0;1;PASS;
