Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat
18/05/2023;1:47:34;22375420931;ME2313742361;;0;1;PASS
18/05/2023;1:48:02;22375420934;ME2313742137;;0;8;PASS
18/05/2023;1:48:31;22375420936;ME2313742109;;0;7;PASS
18/05/2023;1:48:59;22375420938;ME2313742355;;0;6;PASS
18/05/2023;1:49:30;22375420941;ME2313742369;;0;5;PASS
18/05/2023;1:50:05;4,23231E+11;ME2313742368;;-233;4;FAIL
18/05/2023;1:50:35;22375420944;ME2313742367;;0;3;PASS
18/05/2023;1:51:03;22375420946;ME2313742372;;0;2;PASS
18/05/2023;1:51:33;22375420522;ME2313742373;;0;1;PASS
18/05/2023;1:52:04;22375420526;ME2313742491;;0;8;PASS
18/05/2023;1:52:32;22375420528;ME2313742323;;0;7;PASS
18/05/2023;1:53:00;22375420529;ME2313742488;;0;6;PASS
18/05/2023;1:53:41;;;;-199;6;FAIL
18/05/2023;1:54:10;22375420707;ME2313742496;;0;5;PASS
18/05/2023;1:54:39;4,23231E+11;ME2313742495;;-233;4;FAIL
18/05/2023;1:55:09;22375420764;ME2313742510;;0;3;PASS
18/05/2023;1:55:37;22375420765;ME2313742507;;0;2;PASS
18/05/2023;1:56:06;22375420781;ME2313742509;;0;1;PASS
18/05/2023;1:56:34;22375420902;ME2313742503;;0;8;PASS
18/05/2023;1:57:03;22375420904;ME2313742521;;0;7;PASS
18/05/2023;1:57:44;;;;-199;7;FAIL
18/05/2023;1:58:14;22375420906;ME2313742520;;0;6;PASS
18/05/2023;1:58:41;22375420909;ME2313742524;;0;5;PASS
18/05/2023;1:59:12;4,23231E+11;ME2313742495;;-233;4;FAIL
18/05/2023;1:59:48;22375420300;ME2313742539;;0;3;PASS
18/05/2023;2:00:19;22375420534;ME2313742538;;0;2;PASS
18/05/2023;2:00:47;22375420537;ME2313742499;;0;1;PASS
18/05/2023;2:01:16;22375420540;ME2313742525;;0;8;PASS
18/05/2023;2:01:45;22375420543;ME2313742433;;0;7;PASS
18/05/2023;2:02:14;4,23231E+11;ME2313840016;;-243;6;FAIL
18/05/2023;2:02:44;22375420772;ME2313742494;;0;5;PASS
18/05/2023;2:03:13;4,23231E+11;ME2313742495;;-233;4;FAIL
18/05/2023;2:03:33;4,23231E+11;;;-107;4;FAIL
18/05/2023;2:04:01;22375420776;ME2313840030;;0;3;PASS
18/05/2023;2:04:29;22375420778;ME2313840032;;0;2;PASS
18/05/2023;2:05:00;22375420785;ME2313840027;;0;1;PASS
18/05/2023;2:05:28;22375420792;ME2313840028;;0;8;PASS
18/05/2023;2:05:59;22375420304;ME2313840005;;0;7;PASS
18/05/2023;2:06:26;22375420306;ME2313840031;;0;6;PASS
18/05/2023;2:06:55;22375420309;ME2313840053;;0;5;PASS
18/05/2023;2:07:26;4,70222E+11;ME2313840050;;-233;4;FAIL
18/05/2023;2:07:56;22375420544;ME2313840049;;0;3;PASS
18/05/2023;2:08:24;22375420546;ME2313840052;;0;2;PASS
18/05/2023;2:08:55;22375420548;ME2313840055;;0;1;PASS
18/05/2023;2:09:28;22375420549;ME2313840016;;0;8;PASS
18/05/2023;2:09:58;22375420712;ME2313840047;;0;7;PASS
18/05/2023;2:10:32;22375420783;ME2313742397;;0;6;PASS
18/05/2023;2:11:01;22375420787;ME2313742513;;0;5;PASS
18/05/2023;2:11:36;4,70222E+11;ME2313840050;;-233;4;FAIL
18/05/2023;2:12:17;;;;-199;4;FAIL
18/05/2023;2:12:45;22375420789;ME2313742368;;0;3;PASS
18/05/2023;2:13:13;22375420953;ME2313741925;;0;2;PASS
18/05/2023;2:13:41;22375420715;ME2313840073;;0;1;PASS
18/05/2023;2:14:10;22375420951;ME2313840075;;0;8;PASS
18/05/2023;2:14:38;22375420957;ME2313840079;;0;7;PASS
18/05/2023;2:15:06;22375420480;ME2313840096;;0;6;PASS
18/05/2023;2:15:35;22375420714;ME2313741916;;0;5;PASS
18/05/2023;2:16:04;4,23231E+11;ME2313840097;;-233;4;FAIL
18/05/2023;2:16:37;22375420718;ME2313840085;;0;3;PASS
18/05/2023;2:17:07;22375420720;ME2313840084;;0;2;PASS
18/05/2023;2:17:41;22375420722;ME2313840074;;0;1;PASS
18/05/2023;2:18:10;22375420724;ME2313840088;;0;8;PASS
18/05/2023;2:18:38;22375420727;ME2313840089;;0;7;PASS
18/05/2023;2:19:10;22375420955;ME2313840095;;0;6;PASS
18/05/2023;2:19:38;22375420958;ME2313840103;;0;5;PASS
18/05/2023;2:20:07;4,23231E+11;ME2313840097;;-233;4;FAIL
18/05/2023;2:20:37;22375420959;ME2313840102;;0;3;PASS
18/05/2023;2:21:05;22375420962;ME2313840104;;0;2;PASS
18/05/2023;2:21:33;22375420964;ME2313840106;;0;1;PASS
18/05/2023;2:22:02;22375420965;ME2313840107;;0;8;PASS
18/05/2023;2:22:31;22375420967;ME2313840109;;0;7;PASS
18/05/2023;2:23:00;22375420969;ME2313840111;;0;6;PASS
18/05/2023;2:23:32;22375420234;ME2313840114;;0;5;PASS
18/05/2023;2:24:04;4,23231E+11;ME2313840113;;-233;4;FAIL
18/05/2023;2:24:34;22375420237;ME2313840115;;0;3;PASS
18/05/2023;2:25:02;22375420240;ME2313840117;;0;2;PASS
18/05/2023;2:25:31;22375420252;ME2313840116;;0;1;PASS
18/05/2023;2:25:59;22375420475;ME2313840112;;0;8;PASS
18/05/2023;2:26:29;22375420477;ME2313840108;;0;7;PASS
18/05/2023;2:26:57;22375420481;ME2313840141;;0;6;PASS
18/05/2023;2:27:30;22375420484;ME2313840133;;-502;5;FAIL
18/05/2023;2:27:58;22375420491;ME2313840082;;0;4;PASS
18/05/2023;2:28:27;22375420243;ME2313840113;;0;3;PASS
18/05/2023;2:28:57;7,23231E+11;ME2313840142;;-307;2;FAIL
18/05/2023;2:29:38;22375420247;ME2313840146;;0;1;PASS
18/05/2023;2:30:07;22375420249;ME2313840144;;0;8;PASS
18/05/2023;2:30:36;22375420250;ME2313840159;;0;7;PASS
18/05/2023;2:31:05;22375420260;ME2313840097;;0;6;PASS
18/05/2023;2:31:34;22375420487;ME2313840165;;0;5;PASS
18/05/2023;2:32:03;22375420492;ME2313840078;;0;4;PASS
18/05/2023;2:32:31;22375420495;ME2313840062;;0;3;PASS
18/05/2023;2:33:01;22375420725;ME2313840153;;0;2;PASS
18/05/2023;2:33:28;22375420730;ME2313840140;;0;1;PASS
18/05/2023;2:33:57;22375421100;ME2313840142;;0;8;PASS
